,Fecha,Caudal [m3/s]
0,1973-06-01,4.7
1,1973-06-02,4.5
2,1973-06-03,4.3
3,1973-06-04,4.3
4,1973-06-05,3.9
5,1973-06-06,7.75
6,1973-06-07,5.1
7,1973-06-08,6.75
8,1973-06-09,4.9
9,1973-06-10,4.5
10,1973-06-11,5.1
11,1973-06-12,6.0
12,1973-06-13,6.0
13,1973-06-14,7.5
14,1973-06-15,5.1
15,1973-06-16,4.9
16,1973-06-17,6.25
17,1973-06-18,5.3
18,1973-06-19,9.2
19,1973-06-20,8.9
20,1973-06-21,11.3
21,1973-06-22,13.1
22,1973-06-23,12.5
23,1973-06-24,8.0
24,1973-06-25,9.8
25,1973-06-26,13.1
26,1973-06-27,8.3
27,1973-06-28,7.75
28,1973-06-29,8.9
29,1973-06-30,7.25
30,1973-07-01,7.0
31,1973-07-02,6.5
32,1973-07-03,6.0
33,1973-07-04,6.0
34,1973-07-05,8.9
35,1973-07-06,9.2
36,1973-07-07,6.0
37,1973-07-08,5.75
38,1973-07-09,5.5
39,1973-07-10,5.5
40,1973-07-11,5.3
41,1973-07-12,5.1
42,1973-07-13,4.9
43,1973-07-14,5.1
44,1973-07-15,5.3
45,1973-07-16,5.1
46,1973-07-17,8.3
47,1973-07-18,10.7
48,1973-07-19,11.0
49,1973-07-20,10.4
50,1973-07-21,7.0
51,1973-07-22,5.75
52,1973-07-23,5.5
53,1973-07-24,6.75
54,1973-07-25,8.9
55,1973-07-26,6.5
56,1973-07-27,12.8
57,1973-07-28,8.6
58,1973-07-29,8.0
59,1973-07-30,7.25
60,1973-07-31,11.6
61,1973-08-01,6.75
62,1973-08-02,6.75
63,1973-08-03,6.25
64,1973-08-04,5.75
65,1973-08-05,7.25
66,1973-08-06,8.6
67,1973-08-07,14.3
68,1973-08-08,9.2
69,1973-08-09,7.5
70,1973-08-10,7.0
71,1973-08-11,6.75
72,1973-08-12,12.2
73,1973-08-13,6.5
74,1973-08-14,6.25
75,1973-08-15,6.5
76,1973-08-16,6.25
77,1973-08-17,6.91
78,1973-08-18,6.15
79,1973-08-19,6.13
80,1973-08-20,6.92
81,1973-08-21,9.86
82,1973-08-22,6.39
83,1973-08-23,6.02
84,1973-08-24,6.04
85,1973-08-25,6.71
86,1973-08-26,7.57
87,1973-08-27,15.79
88,1973-08-28,19.89
89,1973-08-29,18.84
90,1973-08-30,11.19
91,1973-08-31,12.02
92,1973-09-01,18.56
93,1973-09-02,16.51
94,1973-09-03,11.69
95,1973-09-04,10.23
96,1973-09-05,9.36
97,1973-09-06,9.12
98,1973-09-07,12.84
99,1973-09-08,8.72
100,1973-09-09,8.04
101,1973-09-10,9.76
102,1973-09-11,16.63
103,1973-09-12,18.11
104,1973-09-13,17.23
105,1973-09-14,12.93
106,1973-09-15,12.27
107,1973-09-16,15.63
108,1973-09-17,13.95
109,1973-09-18,13.63
110,1973-09-19,17.36
111,1973-09-20,13.54
112,1973-09-21,16.69
113,1973-09-22,19.16
114,1973-09-23,12.35
115,1973-09-24,11.66
116,1973-09-25,13.11
117,1973-09-26,11.84
118,1973-09-27,10.28
119,1973-09-28,9.87
120,1973-09-29,9.2
121,1973-09-30,8.77
122,1973-10-01,8.51
123,1973-10-02,10.44
124,1973-10-03,10.46
125,1973-10-04,8.77
126,1973-10-05,8.84
127,1973-10-06,8.36
128,1973-10-07,9.53
129,1973-10-08,8.08
130,1973-10-09,7.85
131,1973-10-10,8.38
132,1973-10-11,7.51
133,1973-10-12,9.27
134,1973-10-13,9.48
135,1973-10-14,11.86
136,1973-10-15,11.51
137,1973-10-16,10.8
138,1973-10-17,13.22
139,1973-10-18,10.09
140,1973-10-19,8.9
141,1973-10-20,10.97
142,1973-10-21,11.45
143,1973-10-22,9.87
144,1973-10-23,9.22
145,1973-10-24,8.58
146,1973-10-25,8.04
147,1973-10-26,7.56
148,1973-10-27,7.23
149,1973-10-28,7.03
150,1973-10-29,6.81
151,1973-10-30,6.68
152,1973-10-31,6.59
153,1973-11-01,6.41
154,1973-11-02,6.35
155,1973-11-03,6.28
156,1973-11-04,6.29
157,1973-11-05,6.31
158,1973-11-06,7.06
159,1973-11-07,6.96
160,1973-11-08,6.13
161,1973-11-09,6.81
162,1973-11-10,10.83
163,1973-11-11,16.0
164,1973-11-12,10.51
165,1973-11-13,12.2
166,1973-11-14,11.27
167,1973-11-15,10.93
168,1973-11-16,9.35
169,1973-11-17,8.9
170,1973-11-18,14.63
171,1973-11-19,15.77
172,1973-11-20,8.3
173,1973-11-21,7.85
174,1973-11-22,8.29
175,1973-11-23,7.61
176,1973-11-24,7.24
177,1973-11-25,7.04
178,1973-11-26,9.27
179,1973-11-27,7.72
180,1973-11-28,7.71
181,1973-11-29,7.47
182,1973-11-30,8.31
183,1973-12-01,7.56
184,1973-12-02,8.75
185,1973-12-03,12.95
186,1973-12-04,9.2
187,1973-12-05,8.34
188,1973-12-06,7.78
189,1973-12-07,17.3
190,1973-12-08,8.6
191,1973-12-09,7.89
192,1973-12-10,9.47
193,1973-12-11,8.45
194,1973-12-12,9.02
195,1973-12-13,7.34
196,1973-12-14,7.67
197,1973-12-15,7.56
198,1973-12-16,7.12
199,1973-12-17,6.9
200,1973-12-18,6.9
201,1973-12-19,6.68
202,1973-12-20,6.68
203,1973-12-21,6.46
204,1973-12-22,6.46
205,1973-12-23,6.46
206,1973-12-24,6.46
207,1973-12-25,6.35
208,1973-12-26,6.24
209,1973-12-27,6.46
210,1973-12-28,6.35
211,1973-12-29,6.46
212,1973-12-30,8.72
213,1973-12-31,7.78
214,1974-01-01,16.5
215,1974-01-02,6.85
216,1974-01-03,7.08
217,1974-01-04,6.85
218,1974-01-05,6.39
219,1974-01-06,16.75
220,1974-01-07,15.75
221,1974-01-08,9.25
222,1974-01-09,8.15
223,1974-01-10,6.73
224,1974-01-11,6.51
225,1974-01-12,6.51
226,1974-01-13,6.51
227,1974-01-14,5.93
228,1974-01-15,7.19
229,1974-01-16,10.13
230,1974-01-17,6.85
231,1974-01-18,6.62
232,1974-01-19,6.16
233,1974-01-20,6.39
234,1974-01-21,6.62
235,1974-01-22,6.05
236,1974-01-23,6.05
237,1974-01-24,5.93
238,1974-01-25,5.81
239,1974-01-26,5.7
240,1974-01-27,6.16
241,1974-01-28,5.7
242,1974-01-29,5.59
243,1974-01-30,5.7
244,1974-01-31,5.49
245,1974-02-01,5.49
246,1974-02-02,5.38
247,1974-02-03,5.28
248,1974-02-04,5.28
249,1974-02-05,5.28
250,1974-02-06,5.49
251,1974-02-07,5.28
252,1974-02-08,5.17
253,1974-02-09,5.17
254,1974-02-10,8.56
255,1974-02-11,6.05
256,1974-02-12,6.73
257,1974-02-13,5.81
258,1974-02-14,5.59
259,1974-02-15,5.93
260,1974-02-16,6.27
261,1974-02-17,6.62
262,1974-02-18,5.49
263,1974-02-19,5.17
264,1974-02-20,5.28
265,1974-02-21,5.38
266,1974-02-22,5.07
267,1974-02-23,4.96
268,1974-02-24,5.07
269,1974-02-25,8.74
270,1974-02-26,5.17
271,1974-02-27,6.06
272,1974-02-28,5.49
273,1974-03-01,5.49
274,1974-03-02,5.49
275,1974-03-03,5.6
276,1974-03-04,5.61
277,1974-03-05,5.59
278,1974-03-06,5.86
279,1974-03-07,5.33
280,1974-03-08,5.27
281,1974-03-09,5.47
282,1974-03-10,5.29
283,1974-03-11,5.14
284,1974-03-12,5.21
285,1974-03-13,5.08
286,1974-03-14,5.1
287,1974-03-15,4.86
288,1974-03-16,4.86
289,1974-03-17,4.76
290,1974-03-18,4.65
291,1974-03-19,4.65
292,1974-03-20,4.65
293,1974-03-21,4.51
294,1974-03-22,4.89
295,1974-03-23,5.89
296,1974-03-24,5.29
297,1974-03-25,4.65
298,1974-03-26,4.58
299,1974-03-27,7.34
300,1974-03-28,4.97
301,1974-03-29,5.78
302,1974-03-30,5.78
303,1974-03-31,12.92
304,1974-04-01,9.5
305,1974-04-02,10.09
306,1974-04-03,7.09
307,1974-04-04,5.81
308,1974-04-05,5.42
309,1974-04-06,6.01
310,1974-04-07,5.19
311,1974-04-08,5.36
312,1974-04-09,10.4
313,1974-04-10,6.11
314,1974-04-11,5.89
315,1974-04-12,7.26
316,1974-04-13,14.06
317,1974-04-14,7.02
318,1974-04-15,6.01
319,1974-04-16,7.69
320,1974-04-17,6.62
321,1974-04-18,5.62
322,1974-04-19,5.39
323,1974-04-20,5.21
324,1974-04-21,5.0
325,1974-04-22,9.18
326,1974-04-23,7.51
327,1974-04-24,6.91
328,1974-04-25,5.84
329,1974-04-26,5.65
330,1974-04-27,9.43
331,1974-04-28,14.34
332,1974-04-29,6.97
333,1974-04-30,11.59
334,1974-05-01,13.89
335,1974-05-02,9.49
336,1974-05-03,10.5
337,1974-05-04,9.03
338,1974-05-05,9.59
339,1974-05-06,8.14
340,1974-05-07,11.41
341,1974-05-08,14.11
342,1974-05-09,8.98
343,1974-05-10,9.45
344,1974-05-11,7.62
345,1974-05-12,6.93
346,1974-05-13,6.52
347,1974-05-14,7.94
348,1974-05-15,14.36
349,1974-05-16,15.12
350,1974-05-17,13.86
351,1974-05-18,8.01
352,1974-05-19,6.97
353,1974-05-20,6.75
354,1974-05-21,8.23
355,1974-05-22,7.09
356,1974-05-23,8.61
357,1974-05-24,10.23
358,1974-05-25,6.85
359,1974-05-26,6.7
360,1974-05-27,6.5
361,1974-05-28,6.44
362,1974-05-29,8.32
363,1974-05-30,6.63
364,1974-05-31,12.33
365,1974-06-01,9.56
366,1974-06-02,9.94
367,1974-06-03,14.47
368,1974-06-04,7.72
369,1974-06-05,7.77
370,1974-06-06,8.89
371,1974-06-07,6.89
372,1974-06-08,7.47
373,1974-06-09,6.56
374,1974-06-10,6.47
375,1974-06-11,6.83
376,1974-06-12,9.96
377,1974-06-13,8.56
378,1974-06-14,7.01
379,1974-06-15,6.69
380,1974-06-16,6.29
381,1974-06-17,9.04
382,1974-06-18,8.95
383,1974-06-19,8.2
384,1974-06-20,11.3
385,1974-06-21,17.76
386,1974-06-22,9.75
387,1974-06-23,11.89
388,1974-06-24,7.81
389,1974-06-25,12.78
390,1974-06-26,8.11
391,1974-06-27,7.63
392,1974-06-28,7.39
393,1974-06-29,8.15
394,1974-06-30,9.71
395,1974-07-01,8.36
396,1974-07-02,7.76
397,1974-07-03,17.72
398,1974-07-04,12.76
399,1974-07-05,8.14
400,1974-07-06,7.88
401,1974-07-07,7.0
402,1974-07-08,6.77
403,1974-07-09,6.55
404,1974-07-10,6.5
405,1974-07-11,6.61
406,1974-07-12,13.54
407,1974-07-13,16.7
408,1974-07-14,21.33
409,1974-07-15,11.26
410,1974-07-16,8.96
411,1974-07-17,12.16
412,1974-07-18,11.52
413,1974-07-19,10.87
414,1974-07-20,10.18
415,1974-07-21,8.45
416,1974-07-22,8.27
417,1974-07-23,7.99
418,1974-07-24,7.95
419,1974-07-25,20.0
420,1974-07-26,10.56
421,1974-07-27,8.28
422,1974-07-28,13.63
423,1974-07-29,12.34
424,1974-07-30,12.31
425,1974-07-31,12.38
426,1974-08-01,13.67
427,1974-08-02,9.9
428,1974-08-03,9.78
429,1974-08-04,11.84
430,1974-08-05,8.55
431,1974-08-06,15.93
432,1974-08-07,14.42
433,1974-08-08,17.63
434,1974-08-09,12.26
435,1974-08-10,9.92
436,1974-08-11,9.36
437,1974-08-12,20.3
438,1974-08-13,24.54
